Sample.ID,Date.Collected,Region,Population,MaterNAl_Family,Individual,GCLab,GCLad,SDab,SDad,SAIab,SAIad,BLOCK.POS,Family.Unique,Family.NonUnique,Block.ID
MB-CRN.2.8,7/6/2016,M Alvar,MB-CRN,2,8,25,26,221.3541667,143.2291667,4.150390626,3.723958334,8-J7,MB-CRN_2,2,8
MB-MR.38.11,7/6/2016,M Alvar,MB-MR,38,11,25,26,299.4791667,221.3541667,5.615234376,5.755208334,11-E6,MB-MR_38,38,11
MB-MR.19.7,7/28/2016,M Alvar,MB-MR,19,7,25.333333,26,364.5833333,195.3125,6.927083242,5.078125,7-G11,MB-MR_19,19,7
MAN-MIS.30.4,7/28/2016,GL Alvar,MAN-MIS,30,4,26,26,260.4166667,182.2916667,5.078125001,4.739583334,4-F7,MAN-MIS_30,30,4
MAN-LCI.11.1,7/27/2016,GL Alvar,MAN-LCI,11,1,26.333333,26,260.4166667,143.2291667,5.143229102,3.723958334,1-L13,MAN-LCI_11,11,1
NAP-CE.33.7,6/27/2016,GL Alvar,NAP-CE,33,7,26.333333,26,299.4791667,169.2708333,5.914713467,4.401041666,7-G16,NAP-CE_33,33,7
NAP-SCH.9.3,7/29/2016,GL Alvar,NAP-SCH,9,3,26.333333,26,260.4166667,117.1875,5.143229102,3.046875,3-B3,NAP-SCH_9,9,3
MAN-LCI.9.2,7/28/2016,GL Alvar,MAN-LCI,9,2,26.666667,26,286.4583333,260.4166667,5.729166738,6.770833334,2-H8,MAN-LCI_9,9,2
WNY-CB.2.5,7/5/2016,GL Alvar,WNY-CB,2,5,26.666667,26,377.6041667,234.375,7.552083428,6.09375,5-F12,WNY-CB_2,2,5
WNY-CB.2.8,7/5/2016,GL Alvar,WNY-CB,2,8,26.666667,26,247.3958333,169.2708333,4.947916728,4.401041666,8-C10,WNY-CB_2,2,8
MAN-LCI.12.5,7/27/2016,GL Alvar,MAN-LCI,12,5,27,26,143.2291667,156.25,2.900390626,4.0625,5-I5,MAN-LCI_12,12,5
NAP-CE.33.4,6/27/2016,GL Alvar,NAP-CE,33,4,27,26,286.4583333,208.3333333,5.800781249,5.416666666,4-I15,NAP-CE_33,33,4
MB-CRN.10.10,7/28/2016,M Alvar,MB-CRN,10,10,27.666667,26,234.375,208.3333333,4.863281309,5.416666666,10-E12,MB-CRN_10,10,10
NAP-CE.24.10,7/29/2016,GL Alvar,NAP-CE,24,10,27.666667,26,299.4791667,182.2916667,6.214192784,4.739583334,10-B16,NAP-CE_24,24,10
NAP-SCH.11.2,7/29/2016,GL Alvar,NAP-SCH,11,2,27.666667,26,234.375,130.2083333,4.863281309,3.385416666,2-E16,NAP-SCH_11,11,2
CAR-NBA.4.4,7/21/2016,GL Alvar,CAR-NBA,4,4,28,26,195.3125,182.2916667,4.1015625,4.739583334,4-C16,CAR-NBA_4,4,4
MB-MR.38.4,7/6/2016,M Alvar,MB-MR,38,4,28,26,208.3333333,104.1666667,4.374999999,2.708333334,4-A3,MB-MR_38,38,4
MAN-KIP.24.1,7/27/2016,GL Alvar,MAN-KIP,24,1,28.333333,26,208.3333333,130.2083333,4.427083281,3.385416666,1-I7,MAN-KIP_24,24,1
MAN-MIS.30.8,7/28/2016,GL Alvar,MAN-MIS,30,8,28.666667,26,234.375,182.2916667,5.039062559,4.739583334,8-J3,MAN-MIS_30,30,8
MN-PMG.11,7/10/2016,Prairie,MN-PMG,11,NA,29,26,143.2291667,91.14583333,3.115234376,2.369791667,11-L7,MN-PMG_NA,NA,11
CAR-PSR.10.8,7/22/2016,GL Alvar,CAR-PSR,10,8,29.333333,26,208.3333333,182.2916667,4.583333281,4.739583334,8-I15,CAR-PSR_10,10,8
WNY-CB.16.4,7/30/2016,GL Alvar,WNY-CB,16,4,29.333333,26,351.5625,221.3541667,7.734374912,5.755208334,4-K6,WNY-CB_16,16,4
NAP-CE.7.6,6/24/2016,GL Alvar,NAP-CE,7,6,29.666667,26,169.2708333,169.2708333,3.766276083,4.401041666,6-M10,NAP-CE_7,7,6
MB-MR.13.6,7/28/2016,M Alvar,MB-MR,13,6,23.333333,26.333333,338.5416667,221.3541667,5.924479083,5.828992983,6-K5,MB-MR_13,13,6
NAP-SCH.17.9,7/29/2016,GL Alvar,NAP-SCH,17,9,24,26.333333,312.5,195.3125,5.625,5.143229102,9-A2,NAP-SCH_17,17,9
MAN-MIS.30.6,7/28/2016,GL Alvar,MAN-MIS,30,6,24.333333,26.333333,143.2291667,169.2708333,2.613932256,4.45746522,6-L10,MAN-MIS_30,30,6
MAN-MIS.32.3,7/28/2016,GL Alvar,MAN-MIS,32,3,25,26.333333,351.5625,208.3333333,6.591796875,5.486111041,3-H11,MAN-MIS_32,32,3
MAN-KIP.24.5,7/27/2016,GL Alvar,MAN-KIP,24,5,25.333333,26.333333,312.5,156.25,5.937499922,4.114583281,5-E14,MAN-KIP_24,24,5
MB-MR.19.1,7/28/2016,M Alvar,MB-MR,19,1,25.333333,26.333333,208.3333333,208.3333333,3.958333281,5.486111041,1-G16,MB-MR_19,19,1
ND-BSP.25.12,7/1/2016,Prairie,ND-BSP,25,12,25.333333,26.333333,195.3125,156.25,3.710937451,4.114583281,12-J11,ND-BSP_25,25,12
NAP-CE.7.3,6/24/2016,GL Alvar,NAP-CE,7,3,25.666667,26.333333,273.4375,156.25,5.263671943,4.114583281,3-A5,NAP-CE_7,7,3
